에이전트ID,고객분류,고객분류명,카메라,방문 구역,구매여부,구매 물품,성별,성인/비성인,시간대,1_체류(초),2_체류(초),3_체류(초),4_체류(초)
V0517,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0518,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0519,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0520,여성_미확인,여성 미확인,ch1,4,O,아이스크림,여성,미확인,-,0.0,0.0,0.0,14.4
V0521,여성_미확인,여성 미확인,ch1,3,X,-,여성,미확인,-,0.0,0.0,3.5,0.0
V0522,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0523,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0524,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0525,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0526,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0527,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0528,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0529,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0530,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0531,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0532,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0533,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0534,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0535,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0536,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0537,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0538,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0539,여성_미확인,여성 미확인,ch1,-,O,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0540,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0541,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0542,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0543,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0544,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0545,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0546,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0547,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0548,여성_미확인,여성 미확인,ch1,-,O,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0549,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0550,여성_미확인,여성 미확인,ch1,-,O,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0551,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0552,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0553,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0554,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0555,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0556,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0557,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0558,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0559,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0560,여성_미확인,여성 미확인,ch1,-,O,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0561,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0562,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0563,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0564,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0565,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0566,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0567,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0568,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0569,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0570,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0571,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0572,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0573,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0574,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
